,Accuracy,Error,KS,FNR,NPV,FPR,TNR,Recall,Precision,F1
knn_minmax,0.8403412553321146,0.15965874466788543,0.03717245581962218,0.122040072859745,0.8671513549239921,0.19755351681957187,0.8024464831804281,0.8779599271402551,0.8174109666478236,0.8466042154566745
sgd_minmax,0.8315051797684339,0.16849482023156612,0.011273613650213284,0.15664845173041894,0.8385481852315394,0.18042813455657492,0.8195718654434251,0.843351548269581,0.8248218527315915,0.8339837886520564
svm_minmax,0.8449116392443632,0.1550883607556368,0.04783668494820231,0.10686095931997572,0.8809201623815968,0.2036697247706422,0.7963302752293578,0.8931390406800243,0.815410199556541,0.852506519849319
xgb_bayes_opt_minmax,0.8610603290676416,0.13893967093235832,0.024984765386959172,0.1135397692774742,0.8795878943979395,0.16452599388379205,0.8354740061162079,0.8864602307225258,0.8444187391555813,0.8649289099526066
xgb_bayes_opt2_minmax,0.8650213284582572,0.13497867154174284,0.033211456429006705,0.10139647844565877,0.8905635648754915,0.1688073394495413,0.8311926605504587,0.8986035215543412,0.8428246013667426,0.869820746400235
knn_std,0.8375990249847654,0.16240097501523462,0.06368068251066424,0.09836065573770492,0.8863955119214586,0.22691131498470948,0.7730886850152905,0.9016393442622951,0.8001077586206896,0.8478447045389667
sgd_std,0.8433881779402803,0.15661182205971969,0.032297379646556976,0.12386156648451731,0.8665794637017659,0.18960244648318042,0.8103975535168195,0.8761384335154827,0.8231602966343411,0.8488235294117646
svm_std,0.8653260207190737,0.13467397928092625,0.029859841560024376,0.10443230115361263,0.8880936890045543,0.1651376146788991,0.8348623853211009,0.8955676988463873,0.8452722063037249,0.8696933962264151
xgb_bayes_opt_std,0.8686776355880561,0.13132236441194395,0.004570383912248629,0.12629022465088038,0.8716049382716049,0.1363914373088685,0.8636085626911315,0.8737097753491196,0.8658243080625753,0.8697491689332126
xgb_bayes_opt2_std,0.8641072516758075,0.13589274832419257,0.002437538086532602,0.13296903460837886,0.8653964351567301,0.13883792048929663,0.8611620795107033,0.8670309653916212,0.8628398791540786,0.8649303452453059
knn_rob,0.8260207190737355,0.17397928092626447,0.07891529555149299,0.0947176684881603,0.8866279069767442,0.25382262996941896,0.746177370030581,0.9052823315118397,0.7822665267576075,0.8392907402195329
sgd_rob,0.8436928702010968,0.1563071297989031,0.031992687385740404,0.12386156648451731,0.8666666666666667,0.1889908256880734,0.8110091743119267,0.8761384335154827,0.8236301369863014,0.8490732568402471
svm_rob,0.8598415600243754,0.14015843997562463,0.03534430225472273,0.10443230115361263,0.8867676102699145,0.1761467889908257,0.8238532110091743,0.8955676988463873,0.8366420873511061,0.8651026392961877
xgb_bayes_opt_rob,0.8659354052407069,0.1340645947592931,0.02254722730042657,0.1111111111111111,0.8827674567584881,0.15718654434250764,0.8428134556574923,0.8888888888888888,0.8506682161533992,0.8693586698337291
xgb_bayes_opt2_rob,0.8665447897623401,0.13345521023765997,0.014015843997562462,0.11900425015179114,0.8766519823788547,0.14801223241590214,0.8519877675840979,0.8809957498482088,0.8570584760779681,0.8688622754491018
